With,Without,Bead_type,Replicate,N_beads,N_water
3,0,Latex,1,1,0
1,2,Latex,2,1,0
2,1,Latex,3,1,0
3,0,Latex,4,1,0
3,0,Latex,5,1,0
2,1,Latex,1,2,0
3,0,Latex,2,2,0
3,0,Latex,3,2,0
3,0,Latex,4,2,0
1,2,Latex,5,2,0
1,2,Latex,1,3,0
1,2,Latex,2,3,0
0,3,Latex,3,3,0
0,3,Latex,4,3,0
1,2,Latex,5,3,0
3,0,Latex,1,1,1
0,3,Latex,2,1,1
0,3,Latex,3,1,1
3,0,Latex,4,1,1
3,0,Latex,5,1,1
2,1,Latex,1,1,2
0,3,Latex,2,1,2
0,3,Latex,3,1,2
0,3,Latex,4,1,2
0,3,Latex,5,1,2
0,3,Latex,1,2,1
1,2,Latex,2,2,1
3,0,Latex,3,2,1
2,1,Latex,4,2,1
1,2,Latex,5,2,1
0,3,PLGA,1,1,0
2,1,PLGA,2,1,0
1,2,PLGA,3,1,0
1,2,PLGA,4,1,0
1,2,PLGA,5,1,0
2,1,PLGA,1,2,0
3,0,PLGA,2,2,0
3,0,PLGA,3,2,0
3,0,PLGA,4,2,0
3,0,PLGA,5,2,0
0,3,PLGA,1,3,0
0,3,PLGA,2,3,0
0,3,PLGA,3,3,0
0,3,PLGA,4,3,0
0,3,PLGA,5,3,0
3,0,PLGA,1,1,1
0,3,PLGA,2,1,1
0,3,PLGA,3,1,1
3,0,PLGA,4,1,1
3,0,PLGA,5,1,1
1,2,PLGA,1,1,2
0,3,PLGA,2,1,2
0,3,PLGA,3,1,2
1,2,PLGA,4,1,2
1,2,PLGA,5,1,2
3,0,PLGA,1,2,1
1,2,PLGA,2,2,1
2,1,PLGA,3,2,1
2,1,PLGA,4,2,1
2,1,PLGA,5,2,1
